,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DISTRIBUCIONES AUTOPART´S S.A.S.,,,,,,,,,,,,,,,,,,
,,,,,"CR 50A # 46 - 48 Piso 3 - Itagui, Antioquia. Tel. (57) 3168744179 - ASESORA ELIANA ORREGO",,,,,,,,,o,P,Q,,,,,,,
,,,,,IMPORTADOR MAYORISTA DE AUTOPARTES,,,,,,,,,,,,,,,,,,
,,,,,e-mail: callcenterautoparts@gmail.com,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LISTA DE PRECIOS NACIONAL,,,,,,,,,,LATERAL,,TITULO,,,,,,
ESTADO,CODIGO,Bod,Ref,Origen,Descripción,Vehiculo,Marca,Precio Antes de Iva,Dscto,,,,#,OBS,CATEGORIA,CARRO,ALFABETICA,,# CATEGORIA,ALFABETICA,CATEGORIA,,
AGOTADO,H1367,3 ,-,NAL,ABRAZADERA BUJE B-E CENTRO ,HD ATOS,NAL,,20%,0,,,1,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,1,A,SUSPENSION,,
,H1245,10 ,54571-22000,NAL,ABRAZADERA BUJE PUÑO ,HD ACCENT- ATOS,OEM,"$ 5,200",20%,4900,,,2,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,1,A,SUSPENSION,,
,R0197,160 ,R0144,CHINA,ABRAZADERA CAJA DIR ,RN CLIO II- TWINGO-MEGANE,S G,"$ 10,920",20%,10900,,,3,COMPARTIDO,LISTA ALFABETICA A -Z ,RENAULT,A,,1,A,SUSPENSION,,
,D0684,129 ,(16-27),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 16-27,OEM ,"$ 1,100",20%,1050,,,2446,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,D0227,122 ,(18-32),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 18-32,OEM ,"$ 1,200",20%,1100,,,2447,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,V0155,134 ,(19-29),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 19-29,OEM ,"$ 1,200",20%,1100,,,2448,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,V0154,137 ,(21-38),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 21-38,OEM ,"$ 1,200",20%,1150,,,2449,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,D4124,80 ,(25-40),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 25-40,OEM ,"$ 1,300",20%,1200,,,2450,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,D3273,91 ,(32-50),CHINA,ABRAZADERA METALICA ACERO INOX- ,12.7mm - 32-50,OEM ,"$ 1,400",20%,1300,,,2451,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,V0317,126 ,(13-23),CHINA,ABRAZADERA METALICA ACERO INOX- ,8mm - 13-23,OEM ,$ 700,20%,700,,,2452,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
,V0200,170 ,(6-16),CHINA,ABRAZADERA METALICA PEQ ACERO INOX- ,8mm - 6-16,OEM ,$ 600,20%,600,,,2453,COMPARTIDO,LISTA ALFABETICA A -Z ,TODOS,A,,2,A,MOTOR,,
AGOTADO,V0306,98 ,-,CHINA,"ABRAZADERA PLAST GDE . 38CM 7,6MM",TODOS,OEM,,20%,0,,,4,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,1,A,SUSPENSION,,
,H4666,2 ,35150-02600,KOREA,ACTUADOR ACELERACION,HD ATOS ,KAP,"$ 147,900",20%,140800,,,5,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,4,a,PARTE ELECTRICA,,
,H4718,76 ,35150-02600,CHINA,ACTUADOR ACELERACION ,HD ATOS,OEM,"$ 46,310",20%,44100,,,6,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,4,A,PARTE ELECTRICA,,
AGOTADO,H1328,18 ,35150-02800,CHINA,ACTUADOR ACELERACION ,HD I10-PICANTO II ,OEM,,20%,0,,,7,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,4,A,PARTE ELECTRICA,,
,H0013,72 ,35150-02600,KOREA,ACTUADOR ACELERACION ,HD ATOS ,OEM,"$ 90,100",20%,85800,,,8,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,4,A,PARTE ELECTRICA,,
AGOTADO,H6273,85 ,81770-05500-C,CHINA,AMORTIG.MALETA  LH ,HD I10,OEM ,,20%,0,,,9,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,5,A,CARROCERIA,,
AGOTADO,H6274,14 ,81780-05500-C,CHINA,AMORTIG.MALETA - RH ,HD I10,OEM ,,20%,0,,,10,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,5,A,CARROCERIA,,
AGOTADO,H6217,88 ,81770-05500,CHINA,AMORTIG.MALETA LH ,HD ATOS,DAC,,20%,0,,,11,COMPARTIDO,LISTA ALFABETICA A -Z ,HYUNDAI,A,,5,A,CARROCERIA,,
